Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Shane O'Neill,,D,4,4,347,1,0,1,1,1,0/0,1,0,0.26,100.0,0,0,0,0.0,1,2,0,1,0,100.0,2020,post
Jorge Villafaña,,F,1,1,120,1,0,1,1,0,0/0,1,0,0.75,100.0,0,0,0,0.0,0,3,0,0,0,100.0,2020,post
Brian White,,F,1,0,31,1,0,1,1,0,0/0,0,1,2.9,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,post
Caden Clark,,M,1,1,76,1,0,1,1,0,0/0,0,1,1.18,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,post
Tajon Buchanan,,F,4,4,276,1,0,2,2,0,0/0,0,1,0.33,50.0,0,0,0,0.0,6,10,0,0,0,100.0,2020,post
Shea Salinas,,M,1,1,87,1,0,2,1,0,0/0,0,1,1.03,50.0,0,0,0,0.0,1,2,0,0,0,50.0,2020,post
Maxime Chanot,,D,1,1,120,1,0,2,1,0,0/0,0,1,0.75,50.0,0,0,0,0.0,1,1,0,0,0,50.0,2020,post
Darlington Nagbe,,M,3,3,300,1,0,2,2,0,0/0,1,0,0.3,50.0,0,0,0,0.0,3,7,0,0,0,100.0,2020,post
Ilie Sanchez,,M,2,2,210,1,0,2,2,0,0/0,1,0,0.43,50.0,0,0,0,0.0,2,4,0,0,0,100.0,2020,post
Romell Quioto,,M,1,1,90,1,0,3,3,0,0/0,0,1,1.0,33.3,0,0,0,0.0,0,2,0,0,0,100.0,2020,post
Junior Urso,,M,2,2,207,1,0,3,1,0,0/0,1,0,0.43,33.3,0,0,0,0.0,2,3,0,1,0,33.33,2020,post
Gustav Svensson,,M,2,0,58,1,0,3,1,1,0/0,1,0,1.55,33.3,0,0,0,0.0,1,2,0,0,0,33.33,2020,post
Artur,,M,4,4,388,1,0,3,2,1,0/0,1,0,0.23,33.3,0,0,0,0.0,10,2,1,0,0,66.67,2020,post
Eduard Atuesta,,M,1,1,90,1,0,3,1,0,0/0,0,1,1.0,33.3,0,0,0,0.0,2,3,0,0,0,33.33,2020,post
Ricardo Pepi,,F,2,0,45,1,0,3,3,0,0/0,0,1,2.0,33.3,0,0,0,0.0,1,0,0,0,0,100.0,2020,post
Roger Espinoza,,M,2,2,167,1,0,4,2,0,0/0,1,0,0.54,25.0,0,0,0,0.0,4,3,1,1,0,50.0,2020,post
Chris Wondolowski,,F,1,1,120,1,0,4,2,0,0/0,0,1,0.75,25.0,0,0,0,0.0,1,0,0,0,0,50.0,2020,post
Dax McCarty,,M,3,3,330,1,0,5,1,0,0/0,1,0,0.27,20.0,0,0,0,0.0,5,3,0,0,0,20.0,2020,post
Randall Leal,,F-M,3,3,275,1,0,5,1,1,0/0,1,0,0.33,20.0,0,0,0,0.0,4,5,1,0,0,20.0,2020,post
Daniel Rios,,F,3,0,102,1,0,7,4,1,0/0,0,1,0.88,14.3,0,0,0,0.0,0,0,0,0,0,57.14,2020,post
Nani,,M,2,2,210,1,0,8,3,0,1/2,1,0,0.43,12.5,0,0,0,0.0,4,3,1,1,0,37.5,2020,post
Robin Lod,,M,3,3,269,1,0,9,6,0,0/0,1,0,0.33,11.1,0,0,0,0.0,2,1,4,0,0,66.67,2020,post
Hany Mukhtar,,M,3,3,298,1,0,9,2,0,1/1,1,0,0.3,11.1,0,0,0,0.0,4,6,1,0,0,22.22,2020,post
Adam Buksa,,F,4,4,358,1,0,11,6,1,0/0,0,1,0.25,9.1,0,0,0,0.0,5,4,1,1,0,54.55,2020,post
Cristian Espinoza,,M,1,1,120,0,2,3,1,0,0/0,0,0,0.0,0.0,0,0,2,1.5,2,4,0,1,0,33.33,2020,post
Luis Diaz,,M,4,3,287,0,2,5,2,0,0/0,0,0,0.0,0.0,0,2,0,0.63,4,7,2,0,0,40.0,2020,post
Harrison Afful,,D,4,4,390,0,1,0,0,0,0/0,0,0,0.0,0.0,1,1,0,0.23,4,4,1,0,0,,2020,post
Andres Rios,,F,1,0,33,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,2.73,1,0,0,0,0,,2020,post
Marc Rzatkowski,,M,1,0,14,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,6.43,0,0,0,0,0,0.0,2020,post
Rudy Camacho,,D,1,1,90,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,1.0,0,0,0,0,0,0.0,2020,post
Jared Stroud,,M,1,0,14,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,6.43,0,0,0,0,0,0.0,2020,post
Aidan Morris,,M,1,1,90,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,1.0,2,0,0,0,0,0.0,2020,post
DeJuan Jones,,D,4,4,355,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.25,3,1,0,0,0,0.0,2020,post
Amar Sejdic,,M,1,1,90,0,1,2,1,0,0/0,0,0,0.0,0.0,0,0,1,1.0,1,0,0,0,0,50.0,2020,post
Khiry Shelton,,F,2,2,210,0,1,2,0,0,0/0,0,0,0.0,0.0,0,1,0,0.43,4,2,0,0,0,0.0,2020,post
Cristhian Paredes,,M,1,0,76,0,1,3,2,0,0/0,0,0,0.0,0.0,0,1,0,1.18,2,2,0,0,0,66.67,2020,post
Jonathan Mensah,,D,4,4,390,0,1,3,1,0,0/0,0,0,0.0,0.0,1,1,0,0.23,3,0,0,0,0,33.33,2020,post
Diego Valeri,,M,1,1,120,0,1,4,0,0,0/0,0,0,0.0,0.0,0,1,0,0.75,1,1,0,0,0,0.0,2020,post
Carlos Vela,,F,1,1,90,0,1,4,2,0,0/1,0,0,0.0,0.0,0,0,1,1.0,0,5,0,0,0,50.0,2020,post
Jesus Medina,,M,1,1,120,0,1,4,2,0,0/0,0,0,0.0,0.0,0,0,1,0.75,1,0,1,0,0,50.0,2020,post
Alex Muyl,,M,3,3,289,0,1,5,1,0,0/0,0,0,0.0,0.0,1,1,0,0.31,11,6,2,0,0,20.0,2020,post
Johnny Russell,,F,2,2,210,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.43,2,8,0,1,0,40.0,2020,post
Jan Gregus,,M,3,3,270,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.33,4,3,0,1,0,40.0,2020,post
Gerso Fernandes,,F,2,2,157,0,1,5,2,0,0/0,0,0,0.0,0.0,0,1,0,0.57,2,5,1,0,0,40.0,2020,post
Warren Creavalle,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Miguel Ibarra ,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Aaron Schoenfeld ,,F,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Andrew Wooten,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jay Chapman,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jordan Hamilton,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Mohamed El-Munir,,D,1,0,34,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,,2020,post
Raymon Gaddis,,D,1,1,76,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Marky Delgado,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
James Musa,,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Tsubasa Endoh,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Sebastien Ibeagha,,D,1,0,31,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2020,post
Sean Davis,,M,1,1,76,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,,2020,post
Chris Duvall,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Brad Smith,,D,4,0,87,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,1,0,,2020,post
Waylon Francis,,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
David Accam,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Keegan Rosenberry,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Jerome Kiesewetter,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jorge Corrales,,D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,1,1,0,,2020,post
Dario Zuparic,,D,1,1,120,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2020,post
Romain Metanire,,D,2,2,130,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2020,post
Vako,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Guram Kashia,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Hector Jimenez,,M,1,0,7,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Fanendo Adi,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jalil Anibaba,,D,1,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Victor Ulloa,,M,1,0,27,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Diego Fagundez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Michael Boxall,,D,3,3,270,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,1,0,,2020,post
Leandro Gonzalez Pirez,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Diego Chara,,M,1,1,120,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2020,post
Maximiliano Urruti,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Gadi Kinda,,M,2,0,56,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2020,post
Youness Mokhtar,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Andres Flores,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Anibal Godoy,,M-D,1,1,74,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,,2020,post
Brayan Beckeles,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Heber,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Alan Pulido,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Krisztian Nemeth,,F,1,0,7,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Laurent Ciman,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Gary Mackay-Steven,,F,1,1,89,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,1,0,,2020,post
Jordan Harvey,,D,1,1,56,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2020,post
Gonzalo Higuaín,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Roman Torres,,D,2,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Michael Bradley,,M,1,1,120,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Blaise Matuidi,,M,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0,,2020,post
Rod Fanni,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Reto Ziegler,,D,1,0,10,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Bradley Wright-Phillips,,F,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,,2020,post
Michael Mancienne,,D,2,0,2,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Sebastian Blanco,,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Pablo Piatti,,M,1,1,101,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,,2020,post
Alexander Buttner,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Brek Shea,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Aurelien Collin,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Federico Higuain,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Drew Moor,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Antonio Mlinar Delamea,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Chris Mavinga,,D,1,1,120,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Ike Opara,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Seth Sinovic,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Andy Najar,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Steven Beitashour,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Justin Morrow,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Collen Warner,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Gudmundur Thórarinsson,,D,1,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Felipe Gutiérrez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Juan Agudelo,,F,1,1,63,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2020,post
Jukka Raitala,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Anton Tinnerholm,,D,1,1,89,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,,2020,post
Dom Dwyer,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Danny Wilson,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Dejan Jakovic,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Oswaldo Alanis,,D,1,1,120,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Andreu Fontas,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Victor Wanyama,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Danny Hoesen,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Vito Wormgoor,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Matt Besler,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Graham Zusi,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
A.J. DeLaGarza,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Omar Gonzalez,,D,1,1,111,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Luis Felipe,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Isaac Angking,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Diego Rossi,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Bryan Reynolds,,D,2,2,210,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,2020,post
Grant Lillard,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Kortne Ford,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Kyle Smith,,D,2,2,179,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Joel Waterman,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Matej Oravec,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Raheem Edwards,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Derrick Jones,,M,3,0,86,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2020,post
Jose Cifuentes,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Christian Makoun,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jesus Ferreira,,F,2,1,64,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Paxton Pomykal,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Brandon Servania,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Nicolas Firmino,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Wilson Harris,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Cameron Duke,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Sam Vines,,D,1,0,18,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Santiago Mosquera,,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Liam Fraser,,M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Shamit Shome,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Ballou Jean-Yves Tabla,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jeremy Kelly,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Marcos Lopez,,D,1,1,102,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,1,0,,2020,post
Jacori Hayes,,M,2,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Chris Lema,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Josue Colman,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Orji Okwonkwo,,M,1,0,33,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Tomas Conechny,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Luis Alberto Caicedo,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Abdul Rwatubyaye,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Taylor Washington,,D,3,0,56,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2020,post
Jaroslaw Niezgoda,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Richie Laryea,,M,1,1,111,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,7,1,0,0,,2020,post
Daniel Salloi,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
James Sands,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
George Acosta,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Abu Danladi,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Tim Parker,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Dominique Badji,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Omir Fernandez,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Ben Mines,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Erickson Gallardo,,F-M,1,0,9,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Amadou Dia,,D,2,2,176,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,,2020,post
Deklan Wynne,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Noah Billingsley,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Samuel Tetteh,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Tony Rocha,,M,1,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Justin Dhillon,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Amro Tarek,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Graham Smith,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Joey DeZart,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Mark McKenzie,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2020,post
Matthew Real,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jack Skahan,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Auston Trusty,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Pablo Aranguiz,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Chris Cadden,,D-M,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Jesus David Murillo,,D,1,1,73,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,4,0,0,0,,2020,post
Luis Amarilla,,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Jimmy Medranda ,,D,1,0,13,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Nicolas Figal,,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,,2020,post
Mandela Egbo,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Gedion Zelalem,,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
Alexander Callens,,D,1,1,119,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,,2020,post
Ken Tribbett,,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,post
