Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Jurgen Locadia,CIN,F,17,15,1364,1,0,51,14,0,0/0,0,1,0.07,2.0,0,0,0,0.0,19,29,12,0,0,27.45,2020,reg
Jack Price,COL,M,16,14,1318,0,5,5,2,0,0/0,0,0,0.0,0.0,2,4,1,0.34,13,5,1,4,1,40.0,2020,reg
Andrew Wooten,PHI,F,16,4,447,0,4,3,1,0,0/0,0,0,0.0,0.0,2,1,3,0.81,3,4,5,0,0,33.33,2020,reg
Romain Metanire,MIN,D,20,20,1786,0,4,6,2,0,0/0,0,0,0.0,0.0,1,2,2,0.2,22,24,0,5,1,33.33,2020,reg
Ruan,ORL,D,21,18,1597,0,4,7,2,0,0/0,0,0,0.0,0.0,1,3,1,0.23,19,27,4,4,0,28.57,2020,reg
Jurgen Damm,ATL,M,14,7,635,0,4,8,1,0,0/0,0,0,0.0,0.0,1,2,2,0.57,5,5,2,1,0,12.5,2020,reg
Cristian Penilla,NE,F,17,10,962,0,4,19,6,0,0/0,0,0,0.0,0.0,1,1,3,0.37,14,20,0,0,0,31.58,2020,reg
Emanuel Maciel,MTL,M,11,10,780,0,3,1,0,0,0/0,0,0,0.0,0.0,0,2,1,0.35,6,3,0,2,1,0.0,2020,reg
Zarek Valentin,HOU,D,19,18,1621,0,3,2,0,0,0/0,0,0,0.0,0.0,2,2,1,0.17,6,2,0,0,0,0.0,2020,reg
Bryan Reynolds,DAL,D,17,14,1267,0,3,4,1,0,0/0,0,0,0.0,0.0,2,2,1,0.21,21,15,0,2,0,25.0,2020,reg
Raheem Edwards,MIN,M,12,2,259,0,3,5,0,0,0/0,0,0,0.0,0.0,1,1,2,1.04,8,6,0,0,0,0.0,2020,reg
Milton Valenzuela,CLB,D,19,17,1448,0,3,9,1,0,0/0,0,0,0.0,0.0,2,2,1,0.19,19,10,1,4,0,11.11,2020,reg
Nicolas Benezet,COL,F,12,5,491,0,3,9,3,0,0/0,0,0,0.0,0.0,0,2,1,0.55,9,15,3,1,0,33.33,2020,reg
Victor Ulloa,MIA,M,23,17,1434,0,3,10,1,0,0/0,0,0,0.0,0.0,0,2,1,0.19,23,17,1,1,0,10.0,2020,reg
Alexander Buttner,NE,D,17,15,1251,0,3,14,1,0,0/0,0,0,0.0,0.0,2,0,3,0.22,11,28,0,0,0,7.14,2020,reg
Edison Flores,DC,M,13,11,872,0,3,15,4,0,0/0,0,0,0.0,0.0,0,1,2,0.31,11,8,4,1,0,26.67,2020,reg
Gaston Gimenez,CHI,M,18,17,1557,0,3,21,7,0,0/0,0,0,0.0,0.0,3,3,0,0.17,26,14,1,2,0,33.33,2020,reg
Luis Diaz,CLB,M,21,14,1178,0,3,31,13,0,0/0,0,0,0.0,0.0,2,2,1,0.23,22,41,6,5,0,41.94,2020,reg
Cristian Gutierrez,VAN,D,12,7,665,0,2,0,0,0,0/0,0,0,0.0,0.0,1,2,0,0.27,4,8,1,1,0,,2020,reg
Matt Polster,NE,D,15,8,756,0,2,2,0,0,0/0,0,0,0.0,0.0,0,1,1,0.24,17,8,0,4,1,0.0,2020,reg
Emiliano Insua,LA,D,22,22,1891,0,2,2,0,0,0/0,0,0,0.0,0.0,2,2,0,0.1,13,11,0,2,0,0.0,2020,reg
Xavier Arreaga,SEA,D,14,13,1147,0,2,3,1,0,0/0,0,0,0.0,0.0,0,1,1,0.16,14,15,0,4,0,33.33,2020,reg
Olivier Mbaizo,PHI,D,14,12,1057,0,2,3,2,0,0/0,0,0,0.0,0.0,1,2,0,0.17,22,10,3,4,0,66.67,2020,reg
Jaylin Lindsey,SKC,D,12,11,1059,0,2,6,0,0,0/0,0,0,0.0,0.0,0,0,2,0.17,7,9,2,1,0,0.0,2020,reg
Rolf Feltscher,LA,D,17,13,1247,0,2,6,1,0,0/0,0,0,0.0,0.0,0,2,0,0.14,16,10,1,2,0,16.67,2020,reg
Luis Martins,SKC,D,11,9,773,0,2,6,3,0,0/0,0,0,0.0,0.0,1,1,1,0.23,11,3,0,1,0,50.0,2020,reg
Carles Gil,NE,F,6,4,366,0,2,7,2,0,0/1,0,0,0.0,0.0,1,1,1,0.49,3,14,1,0,0,28.57,2020,reg
Franco Escobar,ATL,D,16,16,1376,0,2,7,0,0,0/0,0,0,0.0,0.0,0,0,2,0.13,24,24,0,8,1,0.0,2020,reg
Joao Moutinho,ORL,D,8,8,685,0,2,7,1,0,0/0,0,0,0.0,0.0,0,2,0,0.26,9,5,0,4,0,14.29,2020,reg
Jared Stroud,RBNY,M,20,11,925,0,2,8,0,0,0/0,0,0,0.0,0.0,0,1,1,0.19,12,21,1,1,0,0.0,2020,reg
Jason Pendant,RBNY,D,20,17,1612,0,2,8,0,0,0/0,0,0,0.0,0.0,0,1,1,0.11,18,10,0,2,0,0.0,2020,reg
Derrick Jones,NSH,M,18,9,912,0,2,9,3,0,0/0,0,0,0.0,0.0,1,2,0,0.2,14,21,0,2,0,33.33,2020,reg
